survey_prefix,area_code,datatype_code,size_code,ownership_code,industry_code,industry_title,year,aggregation_level,first_quarter_status_code,first_quarter_number_of_establishments,january_employment,february_employment,march_employment,first_quarter_total_wages,first_quarter_taxable_wages,first_quarter_contributions,first_quarter_average_weekly_wage,second_quarter_status_code,second_quarter_number_of_establishments,april_employment,may_employment,june_employment,second_quarter_total_wages,second_quarter_taxable_wages,second_quarter_contributions,second_quarter_average_weekly_wage,third_quarter_status_code,third_quarter_number_of_establishments,july_employment,august_employment,september_employment,third_quarter_total_wages,third_quarter_taxable_wages,third_quarter_contributions,third_quarter_average_weekly_wage,fourth_quarter_status_code,fourth_quarter_number_of_establishments,october_employment,november_employment,december_employment,fourth_quarter_total_wages,fourth_quarter_taxable_wages,fourth_quarter_contributions,fourth_quarter_average_weekly_wage,annual_status_code,annual_average_number_of_establishments,annual_average_employment,annual_total_wages,annual_taxable_wages,annual_contributions,annual_average_weekly_wage,annual_average_pay
ENU,48423,0,0,5,11292,Horses and other equine production,2010,77,,4,14,19,18,69453,63821,458,314,,4,21,14,15,66782,45905,328,308,N,4,0,0,0,0,0,0,0,N,3,0,0,0,0,0,0,0,,4,14,257593,147063,1053,344,17868
ENU,48423,0,0,5,112920,Horses and other equine production,2010,78,,4,14,19,18,69453,63821,458,314,,4,21,14,15,66782,45905,328,308,N,4,0,0,0,0,0,0,0,N,3,0,0,0,0,0,0,0,,4,14,257593,147063,1053,344,17868
ENU,48423,0,0,5,11299,All other animal production,2010,77,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0
ENU,48423,0,0,5,112990,All other animal production,2010,78,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0
ENU,48423,0,0,5,113,Forestry and logging,2010,75,,4,28,28,27,260102,200852,1513,723,,4,28,26,27,264023,28730,239,752,,4,25,25,25,265474,17410,124,817,,4,24,24,24,341082,10950,78,1093,,4,26,1130681,257942,1954,839,43628
ENU,48423,0,0,5,1133,Logging,2010,76,,4,28,28,27,260102,200852,1513,723,,4,28,26,27,264023,28730,239,752,,4,25,25,25,265474,17410,124,817,,4,24,24,24,341082,10950,78,1093,,4,26,1130681,257942,1954,839,43628
ENU,48423,0,0,5,11331,Logging,2010,77,,4,28,28,27,260102,200852,1513,723,,4,28,26,27,264023,28730,239,752,,4,25,25,25,265474,17410,124,817,,4,24,24,24,341082,10950,78,1093,,4,26,1130681,257942,1954,839,43628
ENU,48423,0,0,5,113310,Logging,2010,78,,4,28,28,27,260102,200852,1513,723,,4,28,26,27,264023,28730,239,752,,4,25,25,25,265474,17410,124,817,,4,24,24,24,341082,10950,78,1093,,4,26,1130681,257942,1954,839,43628
ENU,48423,0,0,5,115,Agriculture and forestry support activities,2010,75,,16,122,122,125,1654498,1257051,21493,1035,,16,125,135,132,1351290,305305,6283,796,,16,117,149,122,1176484,176283,4142,700,,12,110,100,93,1424313,110453,2721,1085,,15,121,5606585,1849092,34639,891,46335
ENU,48423,0,0,5,1151,Support activities for crop production,2010,76,N,14,0,0,0,0,0,0,0,N,14,0,0,0,0,0,0,0,N,14,0,0,0,0,0,0,0,N,10,0,0,0,0,0,0,0,N,13,0,0,0,0,0,0
ENU,48423,0,0,5,11511,Support activities for crop production,2010,77,N,14,0,0,0,0,0,0,0,N,14,0,0,0,0,0,0,0,N,14,0,0,0,0,0,0,0,N,10,0,0,0,0,0,0,0,N,13,0,0,0,0,0,0
ENU,48423,0,0,5,115112,"Soil preparation, planting, and cultivating",2010,78,N,4,0,0,0,0,0,0,0,,4,23,24,22,343290,119148,2166,1148,N,4,0,0,0,0,0,0,0,N,3,0,0,0,0,0,0,0,,4,21,1509115,763852,12106,1382,71863
ENU,48423,0,0,5,115113,"Crop harvesting, primarily by machine",2010,78,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,5,115116,Farm management services,2010,78,,9,89,88,91,872301,583346,10261,751,,9,86,92,92,943363,160107,2966,806,N,9,0,0,0,0,0,0,0,N,6,0,0,0,0,0,0,0,,8,83,3852333,966669,17668,892,46367
ENU,48423,0,0,5,1152,Support activities for animal production,2010,76,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0
ENU,48423,0,0,5,11521,Support activities for animal production,2010,77,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0
ENU,48423,0,0,5,115210,Support activities for animal production,2010,78,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0
ENU,48423,0,0,5,21,"Mining, quarrying, and oil and gas extraction",2010,74,,161,1571,1616,1673,30433237,13002172,485847,1445,,160,1658,1672,1707,29935269,2864635,132114,1371,,159,1789,1845,1843,34014490,2733902,126490,1433,,161,1839,1864,1850,38002771,1946709,88939,1579,,160,1744,132385767,20547418,833390,1460,75913
ENU,48423,0,0,5,211,Oil and gas extraction,2010,75,,86,589,563,566,13727532,4607890,72405,1844,,84,500,497,501,10613988,478195,7901,1635,,83,538,541,539,12598878,394451,7653,1797,,84,530,531,533,14188868,332804,5741,2054,,84,536,51129266,5813340,93700,1836,95450
ENU,48423,0,0,5,2111,Oil and gas extraction,2010,76,,86,589,563,566,13727532,4607890,72405,1844,,84,500,497,501,10613988,478195,7901,1635,,83,538,541,539,12598878,394451,7653,1797,,84,530,531,533,14188868,332804,5741,2054,,84,536,51129266,5813340,93700,1836,95450
ENU,48423,0,0,5,21111,Oil and gas extraction,2010,77,,86,589,563,566,13727532,4607890,72405,1844,,84,500,497,501,10613988,478195,7901,1635,,83,538,541,539,12598878,394451,7653,1797,,84,530,531,533,14188868,332804,5741,2054,,84,536,51129266,5813340,93700,1836,95450
ENU,48423,0,0,5,211111,Crude petroleum and natural gas extraction,2010,78,N,85,0,0,0,0,0,0,0,N,83,0,0,0,0,0,0,0,N,82,0,0,0,0,0,0,0,N,83,0,0,0,0,0,0,0,N,83,0,0,0,0,0,0
ENU,48423,0,0,5,211112,Natural gas liquid extraction,2010,78,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,5,212,"Mining, except oil and gas",2010,75,,4,54,59,65,521785,451219,12508,676,,4,67,65,68,656542,163249,4744,758,,4,74,88,87,842629,204601,6140,781,,4,89,88,82,891626,158385,5533,794,,4,74,2912582,977454,28925,759,39448
ENU,48423,0,0,5,2123,Nonmetallic mineral mining and quarrying,2010,76,,4,54,59,65,521785,451219,12508,676,,4,67,65,68,656542,163249,4744,758,,4,74,88,87,842629,204601,6140,781,,4,89,88,82,891626,158385,5533,794,,4,74,2912582,977454,28925,759,39448
ENU,48423,0,0,5,21231,Stone mining and quarrying,2010,77,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,5,212311,Dimension stone mining and quarrying,2010,78,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,5,21232,"Sand, gravel, clay, and refractory mining",2010,77,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0
ENU,48423,0,0,5,212321,Construction sand and gravel mining,2010,78,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,5,212322,Industrial sand mining,2010,78,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,5,21239,Other nonmetallic mineral mining,2010,77,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,5,212399,All other nonmetallic mineral mining,2010,78,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,5,213,Support activities for mining,2010,75,,71,928,994,1042,16183920,7943063,400934,1260,,72,1091,1110,1138,18664739,2223191,119469,1290,,72,1177,1216,1217,20572983,2134850,112697,1315,,73,1220,1245,1235,22922277,1455520,77665,1430,,72,1134,78343919,13756624,710765,1328,69061
ENU,48423,0,0,5,2131,Support activities for mining,2010,76,,71,928,994,1042,16183920,7943063,400934,1260,,72,1091,1110,1138,18664739,2223191,119469,1290,,72,1177,1216,1217,20572983,2134850,112697,1315,,73,1220,1245,1235,22922277,1455520,77665,1430,,72,1134,78343919,13756624,710765,1328,69061
ENU,48423,0,0,5,21311,Support activities for mining,2010,77,,71,928,994,1042,16183920,7943063,400934,1260,,72,1091,1110,1138,18664739,2223191,119469,1290,,72,1177,1216,1217,20572983,2134850,112697,1315,,73,1220,1245,1235,22922277,1455520,77665,1430,,72,1134,78343919,13756624,710765,1328,69061
ENU,48423,0,0,5,213111,Drilling oil and gas wells,2010,78,N,7,0,0,0,0,0,0,0,N,7,0,0,0,0,0,0,0,N,6,0,0,0,0,0,0,0,N,5,0,0,0,0,0,0,0,N,6,0,0,0,0,0,0
ENU,48423,0,0,5,213112,Support activities for oil and gas operations,2010,78,,63,605,618,623,10572670,4711973,180733,1322,,64,630,630,642,11615095,1018900,37199,1409,,65,665,681,678,12028651,1075204,38223,1371,,67,707,717,712,14719493,733351,27007,1590,,65,659,48935909,7539428,283162,1428,74258
ENU,48423,0,0,5,213113,Support activities for coal mining,2010,78,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,5,22,Utilities,2010,74,,22,307,308,310,5545687,2467331,42998,1384,,23,287,289,289,4519125,229192,3923,1206,,23,289,294,297,4454883,104739,2334,1168,,23,292,287,283,4899382,99614,1906,1312,,23,294,19419077,2900876,51161,1269,65976
ENU,48423,0,0,5,221,Utilities,2010,75,,22,307,308,310,5545687,2467331,42998,1384,,23,287,289,289,4519125,229192,3923,1206,,23,289,294,297,4454883,104739,2334,1168,,23,292,287,283,4899382,99614,1906,1312,,23,294,19419077,2900876,51161,1269,65976
ENU,48423,0,0,5,2211,Power generation and supply,2010,76,,4,135,135,136,3369137,1142049,17439,1915,,5,116,116,116,2452528,28055,452,1626,,5,115,114,115,2464283,15346,257,1653,,5,114,114,114,2501350,13109,219,1688,,5,120,10787298,1198559,18367,1729,89894
ENU,48423,0,0,5,22111,Electric power generation,2010,77,-0,0,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,5,221111,Hydroelectric power generation,2010,78,-0,0,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,5,22112,Electric power transmission and distribution,2010,77,,4,135,135,136,3369137,1142049,17439,1915,N,4,0,0,0,0,0,0,0,N,4,0,0,0,0,0,0,0,N,4,0,0,0,0,0,0,0,N,4,0,0,0,0,0,0
ENU,48423,0,0,5,221122,Electric power distribution,2010,78,,4,135,135,136,3369137,1142049,17439,1915,N,4,0,0,0,0,0,0,0,N,4,0,0,0,0,0,0,0,N,4,0,0,0,0,0,0,0,N,4,0,0,0,0,0,0
ENU,48423,0,0,5,2212,Natural gas distribution,2010,76,,4,55,59,57,1032723,468553,13241,1394,,4,56,56,56,917736,21303,803,1261,,4,55,56,55,834454,15106,598,1160,,4,56,52,53,979561,20485,840,1404,,4,56,3764474,525447,15482,1304,67828
ENU,48423,0,0,5,22121,Natural gas distribution,2010,77,,4,55,59,57,1032723,468553,13241,1394,,4,56,56,56,917736,21303,803,1261,,4,55,56,55,834454,15106,598,1160,,4,56,52,53,979561,20485,840,1404,,4,56,3764474,525447,15482,1304,67828
ENU,48423,0,0,5,221210,Natural gas distribution,2010,78,,4,55,59,57,1032723,468553,13241,1394,,4,56,56,56,917736,21303,803,1261,,4,55,56,55,834454,15106,598,1160,,4,56,52,53,979561,20485,840,1404,,4,56,3764474,525447,15482,1304,67828
ENU,48423,0,0,5,2213,"Water, sewage and other systems",2010,76,,14,117,114,117,1143827,856729,12318,759,,14,115,117,117,1148861,179834,2668,760,,14,119,124,127,1156146,74287,1479,721,,14,122,121,116,1418471,66020,847,912,,14,119,4867305,1176870,17312,788,40959
ENU,48423,0,0,5,22131,Water supply and irrigation systems,2010,77,,14,117,114,117,1143827,856729,12318,759,,14,115,117,117,1148861,179834,2668,760,,14,119,124,127,1156146,74287,1479,721,,14,122,121,116,1418471,66020,847,912,,14,119,4867305,1176870,17312,788,40959
ENU,48423,0,0,5,221310,Water supply and irrigation systems,2010,78,,14,117,114,117,1143827,856729,12318,759,,14,115,117,117,1148861,179834,2668,760,,14,119,124,127,1156146,74287,1479,721,,14,122,121,116,1418471,66020,847,912,,14,119,4867305,1176870,17312,788,40959
ENU,48423,0,0,5,23,Construction,2010,74,,475,3685,3756,3815,30866186,24052241,485562,633,,467,3920,3961,3972,34835315,10479940,210546,678,,473,3934,3831,3739,35584049,4810981,112034,714,,469,3677,3687,3702,37180297,3686249,73443,775,,471,3807,138465847,43029411,881585,700,36375
ENU,48423,0,0,5,236,Construction of buildings,2010,75,,129,787,771,783,7294615,5506666,113892,719,,125,800,814,825,8141088,2041241,41507,770,,125,803,802,797,8229838,1125290,25167,791,,126,770,783,776,9006359,822430,17666,892,,126,793,32671900,9495627,198232,793,41222
ENU,48423,0,0,5,2361,Residential building construction,2010,76,,86,277,267,271,2214414,1723670,37906,627,,82,291,292,297,2311662,697019,13542,606,,82,285,294,301,2528560,497674,9588,663,,82,289,288,289,2670075,382980,7086,712,,83,287,9724711,3301343,68122,652,33914
ENU,48423,0,0,5,23611,Residential building construction,2010,77,,86,277,267,271,2214414,1723670,37906,627,,82,291,292,297,2311662,697019,13542,606,,82,285,294,301,2528560,497674,9588,663,,82,289,288,289,2670075,382980,7086,712,,83,287,9724711,3301343,68122,652,33914
ENU,48423,0,0,5,236115,New single-family general contractors,2010,78,,72,219,212,217,1882822,1420119,30858,671,,69,233,236,238,1950423,567633,10794,637,,69,232,240,245,2169927,422507,8036,698,,69,235,233,226,2310088,334014,6310,768,,70,231,8313260,2744273,55998,694,36066
ENU,48423,0,0,5,236116,New multifamily general contractors,2010,78,N,3,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0
ENU,48423,0,0,5,236118,Residential remodelers,2010,78,N,11,0,0,0,0,0,0,0,N,11,0,0,0,0,0,0,0,N,11,0,0,0,0,0,0,0,N,11,0,0,0,0,0,0,0,N,11,0,0,0,0,0,0
ENU,48423,0,0,5,2362,Nonresidential building construction,2010,76,,43,510,504,512,5080201,3782996,75986,768,,43,509,522,528,5829426,1344222,27965,863,,43,518,508,496,5701278,627616,15579,864,,44,481,495,487,6336284,439450,10580,999,,43,506,22947189,6194284,130110,872,45365
ENU,48423,0,0,5,23621,Industrial building construction,2010,77,,5,64,64,64,417745,356434,12964,502,,5,53,56,56,455844,120542,4198,638,,5,53,54,52,445568,44556,1157,647,,5,45,44,42,533803,24364,547,940,,5,54,1852960,545896,18866,661,34367
ENU,48423,0,0,5,236210,Industrial building construction,2010,78,,5,64,64,64,417745,356434,12964,502,,5,53,56,56,455844,120542,4198,638,,5,53,54,52,445568,44556,1157,647,,5,45,44,42,533803,24364,547,940,,5,54,1852960,545896,18866,661,34367
ENU,48423,0,0,5,23622,Commercial building construction,2010,77,,38,446,440,448,4662456,3426562,63022,807,,38,456,466,472,5373582,1223680,23767,890,,38,465,454,444,5255710,583060,14422,890,,39,436,451,445,5802481,415086,10033,1005,,38,452,21094229,5648388,111244,898,46677
ENU,48423,0,0,5,236220,Commercial building construction,2010,78,,38,446,440,448,4662456,3426562,63022,807,,38,456,466,472,5373582,1223680,23767,890,,38,465,454,444,5255710,583060,14422,890,,39,436,451,445,5802481,415086,10033,1005,,38,452,21094229,5648388,111244,898,46677
ENU,48423,0,0,5,237,Heavy and civil engineering construction,2010,75,,46,435,423,464,4487685,2818565,84632,783,,45,496,510,513,5364595,1269035,49182,815,,45,515,500,463,5505569,616030,28622,860,,45,404,385,395,4259835,276323,9276,830,,45,459,19617684,4979953,171712,823,42779
ENU,48423,0,0,5,2371,Utility system construction,2010,76,,18,141,149,176,2226023,1156526,29001,1102,,18,223,230,234,2759105,601918,28171,927,,17,236,224,189,2913599,299180,18495,1036,,17,138,135,135,1672712,97146,2639,946,,18,184,9571439,2154770,78306,999,51972
ENU,48423,0,0,5,23711,Water and sewer system construction,2010,77,,10,73,76,75,1296431,515838,7249,1336,,10,76,70,72,654156,184181,2555,692,,9,75,73,75,598546,41611,764,619,,9,62,62,61,713866,33964,703,890,,10,71,3262999,775594,11271,886,46066
ENU,48423,0,0,5,237110,Water and sewer system construction,2010,78,,10,73,76,75,1296431,515838,7249,1336,,10,76,70,72,654156,184181,2555,692,,9,75,73,75,598546,41611,764,619,,9,62,62,61,713866,33964,703,890,,10,71,3262999,775594,11271,886,46066
ENU,48423,0,0,5,23712,Oil and gas pipeline construction,2010,77,,4,26,31,59,570400,337273,19323,1135,,4,102,117,116,1674035,301507,24670,1153,,4,116,106,66,1834025,220392,17426,1470,,4,30,28,28,495180,35372,1727,1329,,4,69,4573640,894544,63146,1279,66526
ENU,48423,0,0,5,237120,Oil and gas pipeline construction,2010,78,,4,26,31,59,570400,337273,19323,1135,,4,102,117,116,1674035,301507,24670,1153,,4,116,106,66,1834025,220392,17426,1470,,4,30,28,28,495180,35372,1727,1329,,4,69,4573640,894544,63146,1279,66526
ENU,48423,0,0,5,23713,Power and communication system construction,2010,77,,4,42,42,42,359192,303415,2429,658,,4,45,43,46,430914,116230,946,742,,4,45,45,48,481028,37177,305,804,,4,46,45,46,463666,27810,209,781,,4,45,1734800,484632,3889,748,38911
ENU,48423,0,0,5,237130,Power and communication system construction,2010,78,,4,42,42,42,359192,303415,2429,658,,4,45,43,46,430914,116230,946,742,,4,45,45,48,481028,37177,305,804,,4,46,45,46,463666,27810,209,781,,4,45,1734800,484632,3889,748,38911
ENU,48423,0,0,5,2372,Land subdivision,2010,76,,12,50,48,48,337604,275984,4957,534,,11,50,46,48,384761,106444,1489,617,,11,40,37,37,306014,33696,443,619,,12,38,36,38,308640,22333,381,636,,12,43,1337019,438457,7270,598,31093
ENU,48423,0,0,5,23721,Land subdivision,2010,77,,12,50,48,48,337604,275984,4957,534,,11,50,46,48,384761,106444,1489,617,,11,40,37,37,306014,33696,443,619,,12,38,36,38,308640,22333,381,636,,12,43,1337019,438457,7270,598,31093
ENU,48423,0,0,5,237210,Land subdivision,2010,78,,12,50,48,48,337604,275984,4957,534,,11,50,46,48,384761,106444,1489,617,,11,40,37,37,306014,33696,443,619,,12,38,36,38,308640,22333,381,636,,12,43,1337019,438457,7270,598,31093
ENU,48423,0,0,5,2373,"Highway, street, and bridge construction",2010,76,,8,211,206,205,1742886,1234850,49519,647,,8,201,209,208,2047163,489480,18966,764,,9,216,215,220,2109641,240390,9346,748,,9,208,200,199,2105287,136080,6095,800,,9,208,8004977,2100800,83926,740,38455
ENU,48423,0,0,5,23731,"Highway, street, and bridge construction",2010,77,,8,211,206,205,1742886,1234850,49519,647,,8,201,209,208,2047163,489480,18966,764,,9,216,215,220,2109641,240390,9346,748,,9,208,200,199,2105287,136080,6095,800,,9,208,8004977,2100800,83926,740,38455
ENU,48423,0,0,5,237310,"Highway, street, and bridge construction",2010,78,,8,211,206,205,1742886,1234850,49519,647,,8,201,209,208,2047163,489480,18966,764,,9,216,215,220,2109641,240390,9346,748,,9,208,200,199,2105287,136080,6095,800,,9,208,8004977,2100800,83926,740,38455
ENU,48423,0,0,5,2379,Other heavy construction,2010,76,,8,33,20,35,181172,151205,1155,475,,8,22,25,23,173566,71193,556,572,,8,23,24,17,176315,42764,338,636,,7,20,14,23,173196,20764,161,701,,8,23,704249,285926,2210,583,30290
ENU,48423,0,0,5,23799,Other heavy construction,2010,77,,8,33,20,35,181172,151205,1155,475,,8,22,25,23,173566,71193,556,572,,8,23,24,17,176315,42764,338,636,,7,20,14,23,173196,20764,161,701,,8,23,704249,285926,2210,583,30290
ENU,48423,0,0,5,237990,Other heavy construction,2010,78,,8,33,20,35,181172,151205,1155,475,,8,22,25,23,173566,71193,556,572,,8,23,24,17,176315,42764,338,636,,7,20,14,23,173196,20764,161,701,,8,23,704249,285926,2210,583,30290
ENU,48423,0,0,5,238,Specialty trade contractors,2010,75,,300,2463,2562,2568,19083886,15727010,287038,580,,297,2624,2637,2634,21329632,7169664,119857,623,,303,2616,2529,2479,21848642,3069661,58245,661,,298,2503,2519,2531,23914103,2587496,46501,731,,300,2555,86176263,28553831,511641,649,33723
ENU,48423,0,0,5,2381,Building foundation and exterior contractors,2010,76,,56,416,420,433,2546127,2348068,44290,463,,55,442,470,484,3242882,1510515,24943,536,,54,489,488,473,3607954,685131,13044,574,,54,480,480,467,4093792,437575,7829,662,,55,462,13490755,4981289,90106,562,29211
ENU,48423,0,0,5,23811,Poured concrete structure contractors,2010,77,,18,125,121,142,628264,616956,7860,374,,19,134,147,164,907939,605857,7853,471,,19,162,159,151,964324,257506,4132,471,,19,158,159,151,912324,133022,2313,450,,19,148,3412851,1613341,22158,444,23099
ENU,48423,0,0,5,238111,Residential poured foundation contractors,2010,78,,9,85,82,96,453474,447566,5263,398,,9,86,92,99,623414,376608,3599,519,,9,106,110,104,666878,131396,1290,481,,9,102,99,96,619183,78951,1009,481,,9,96,2362949,1034521,11161,471,24508
ENU,48423,0,0,5,238112,Nonresidential poured foundation contractors,2010,78,,9,40,39,46,174790,169390,2597,323,,10,48,55,65,284525,229249,4254,391,,10,56,49,47,297446,126110,2842,452,,10,56,60,55,293141,54071,1304,396,,10,51,1049902,578820,10997,393,20453
ENU,48423,0,0,5,23812,Steel and precast concrete contractors,2010,77,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0
ENU,48423,0,0,5,238121,Residential structural steel contractors,2010,78,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,5,238122,Nonresidential structural steel contractors,2010,78,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,5,23813,Framing contractors,2010,77,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0
ENU,48423,0,0,5,238131,Residential framing contractors,2010,78,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0
ENU,48423,0,0,5,23814,Masonry contractors,2010,77,,8,30,31,34,137823,136623,1397,335,,8,37,37,39,177180,116110,1197,362,,8,38,38,34,184050,58092,749,386,,8,44,44,40,223745,67280,932,403,,8,37,722798,378105,4275,374,19447
ENU,48423,0,0,5,238141,Residential masonry contractors,2010,78,N,7,0,0,0,0,0,0,0,N,7,0,0,0,0,0,0,0,N,7,0,0,0,0,0,0,0,N,7,0,0,0,0,0,0,0,N,7,0,0,0,0,0,0
ENU,48423,0,0,5,238142,Nonresidential masonry contractors,2010,78,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,5,23815,Glass and glazing contractors,2010,77,,5,56,52,52,362025,340437,5516,522,,5,51,52,55,417771,142390,2453,610,,5,59,61,58,498049,79518,1227,646,,5,56,56,56,939785,43234,455,1291,,5,55,2217630,605579,9651,771,40078
ENU,48423,0,0,5,238151,Residential glass and glazing contractors,2010,78,,5,56,52,52,362025,340437,5516,522,,5,51,52,55,417771,142390,2453,610,,5,59,61,58,498049,79518,1227,646,,5,56,56,56,939785,43234,455,1291,,5,55,2217630,605579,9651,771,40078
ENU,48423,0,0,5,23816,Roofing contractors,2010,77,,14,112,124,112,838077,699176,16657,556,,14,116,131,121,1071907,396561,7703,672,,13,120,123,123,1125507,160892,3498,710,,13,120,121,122,1206203,131739,2917,767,,14,120,4241694,1388368,30775,677,35225
ENU,48423,0,0,5,238161,Residential roofing contractors,2010,78,,9,60,77,73,503860,416171,9040,554,,9,83,96,87,753887,303315,6707,654,,8,87,87,87,797828,108776,2955,705,,8,83,82,88,845328,80677,2539,771,,9,83,2900903,908939,21241,676,35162
ENU,48423,0,0,5,238162,Nonresidential roofing contractors,2010,78,,5,52,47,39,334217,283005,7617,559,,5,33,35,34,318020,93246,996,720,,5,33,36,36,327679,52116,543,720,,5,37,39,34,360875,51062,378,757,,5,38,1340791,479429,9534,680,35362
ENU,48423,0,0,5,23817,Siding contractors,2010,77,,5,19,19,20,117943,115788,1361,469,,4,24,23,24,145747,57738,763,474,,4,24,24,23,169484,21431,558,551,,4,25,23,22,223281,15114,143,736,,4,23,656455,210071,2825,561,29176
ENU,48423,0,0,5,238171,Residential siding contractors,2010,78,,5,19,19,20,117943,115788,1361,469,,4,24,23,24,145747,57738,763,474,,4,24,24,23,169484,21431,558,551,,4,25,23,22,223281,15114,143,736,,4,23,656455,210071,2825,561,29176
ENU,48423,0,0,5,23819,Other building exterior contractors,2010,77,N,2,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,5,238191,Other residential exterior contractors,2010,78,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,5,238192,Other nonresidential exterior contractors,2010,78,N,1,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0
